flight_number,standard_time,estimated_time,location,airline,international,flight_status
BHA607,2023-08-14 09:20:00,"[{""time"": ""2023-08-14 10:00:00"", ""timestamp"": ""2023-08-14 09:39:49""}, {""time"": ""2023-08-14 11:00:00"", ""timestamp"": ""2023-08-14 11:01:37""}, {""time"": ""2023-08-14 11:10:00"", ""timestamp"": ""2023-08-14 11:15:02""}, {""time"": ""2023-08-14 12:00:00"", ""timestamp"": ""2023-08-14 12:15:02""}, {""time"": ""2023-08-14 12:40:00"", ""timestamp"": ""2023-08-14 13:15:02""}]",Pokhara,Buddha Air,f,"[{""status"": ""Delay due to weather"", ""timestamp"": ""2023-08-14 09:39:49""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-14 12:15:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 13:15:02""}]"
H9890,2023-08-14 10:30:00,"[{""time"": ""2023-08-14 10:30:00"", ""timestamp"": ""2023-08-14 09:39:49""}]",Kuala Lumpur,Himalaya Airlines,t,"[{""status"": ""Security Check"", ""timestamp"": ""2023-08-14 09:39:49""}, {""status"": ""Last Call"", ""timestamp"": ""2023-08-14 11:00:54""}]"
BHA359,2023-08-18 12:30:00,"[{""time"": ""2023-08-18 12:30:00"", ""timestamp"": ""2023-08-18 12:45:02""}]",Bharatpur,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-18 12:45:02""}]"
BHA955,2023-08-14 12:30:00,"[{""time"": ""2023-08-14 13:10:00"", ""timestamp"": ""2023-08-14 13:15:02""}, {""time"": ""2023-08-14 14:17:00"", ""timestamp"": ""2023-08-14 14:45:03""}]",Bhadrapur,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-14 13:15:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 14:45:03""}]"
NYT571,2023-08-14 11:40:00,"[{""time"": ""2023-08-14 11:40:00"", ""timestamp"": ""2023-08-14 12:45:03""}, {""time"": ""2023-08-14 13:21:00"", ""timestamp"": ""2023-08-14 13:45:03""}]",Janakpur,Yeti Airlines,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-14 12:45:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 13:45:03""}]"
FZ574,2023-08-15 01:45:00,"[{""time"": ""2023-08-15 01:45:00"", ""timestamp"": ""2023-08-15 01:15:03""}]",Dubai,Flydubai,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-15 00:45:08""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-15 01:45:02""}]"
SHA735,2023-08-14 14:05:00,"[{""time"": ""2023-08-14 16:25:00"", ""timestamp"": ""2023-08-14 13:45:03""}, {""time"": ""2023-08-14 17:10:00"", ""timestamp"": ""2023-08-14 17:15:02""}, {""time"": ""2023-08-14 17:35:00"", ""timestamp"": ""2023-08-14 18:15:03""}]",Biratnagar,Shree Airlines,f,"[{""status"": ""Delayed"", ""timestamp"": ""2023-08-14 13:45:03""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-14 17:15:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 18:15:03""}]"
QR653,2023-08-14 12:30:00,"[{""time"": ""2023-08-14 12:30:00"", ""timestamp"": ""2023-08-14 12:45:03""}]",Doha,Qatar Airways,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-14 12:45:03""}]"
SAU911,2023-08-14 12:45:00,"[{""time"": ""2023-08-14 12:45:00"", ""timestamp"": ""2023-08-14 12:45:03""}, {""time"": ""2023-08-14 13:37:00"", ""timestamp"": ""2023-08-14 13:45:03""}]",Bhadrapur,Saurya Airlines,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-14 12:45:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 13:45:03""}]"
BHA703,2023-08-14 09:50:00,"[{""time"": ""2023-08-14 09:50:00"", ""timestamp"": ""2023-08-14 11:01:37""}]",Biratnagar,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-14 11:00:54""}]"
BG372,2023-08-14 13:10:00,"[{""time"": ""2023-08-14 13:10:00"", ""timestamp"": ""2023-08-14 13:15:02""}]",Dhaka,Biman Bangladesh,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-14 13:15:02""}]"
BHA853,2023-08-14 10:00:00,"[{""time"": ""2023-08-14 10:00:00"", ""timestamp"": ""2023-08-14 11:01:37""}]",Bhairahawa,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-14 11:00:54""}]"
BHA1651,2023-08-14 07:45:00,"[{""time"": ""2023-08-14 11:04:00"", ""timestamp"": ""2023-08-14 11:15:02""}]",Pokhara,Buddha Air,f,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-14 11:15:02""}]"
BHA605,2023-08-14 08:55:00,"[{""time"": ""2023-08-14 10:00:00"", ""timestamp"": ""2023-08-14 09:39:49""}, {""time"": ""2023-08-14 11:00:00"", ""timestamp"": ""2023-08-14 11:01:37""}, {""time"": ""2023-08-14 11:05:00"", ""timestamp"": ""2023-08-14 11:15:02""}, {""time"": ""2023-08-14 11:31:00"", ""timestamp"": ""2023-08-14 11:45:02""}]",Pokhara,Buddha Air,f,"[{""status"": ""Delay due to weather"", ""timestamp"": ""2023-08-14 09:39:49""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-14 11:15:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 11:45:02""}]"
BHA375,2023-08-14 14:20:00,"[{""time"": ""2023-08-14 14:20:00"", ""timestamp"": ""2023-08-14 14:15:03""}, {""time"": ""2023-08-14 15:00:00"", ""timestamp"": ""2023-08-14 15:45:02""}, {""time"": ""2023-08-14 16:00:00"", ""timestamp"": ""2023-08-14 16:15:02""}]",Bharatpur,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-14 14:15:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 16:15:02""}]"
NYT675,2023-08-14 09:50:00,"[{""time"": ""2023-08-14 10:00:00"", ""timestamp"": ""2023-08-14 09:39:49""}, {""time"": ""2023-08-14 10:55:00"", ""timestamp"": ""2023-08-14 11:01:37""}, {""time"": ""2023-08-14 11:22:00"", ""timestamp"": ""2023-08-14 11:45:02""}]",Pokhara,Yeti Airlines,f,"[{""status"": ""Delay due to weather"", ""timestamp"": ""2023-08-14 09:39:49""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-14 11:00:54""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 11:45:02""}]"
BHA953,2023-08-14 10:30:00,"[{""time"": ""2023-08-14 10:40:00"", ""timestamp"": ""2023-08-14 11:01:37""}, {""time"": ""2023-08-14 11:06:00"", ""timestamp"": ""2023-08-14 11:45:02""}]",Bhadrapur,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-14 11:00:54""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 11:45:02""}]"
BHA357,2023-08-14 12:00:00,"[{""time"": ""2023-08-14 12:50:00"", ""timestamp"": ""2023-08-14 13:15:02""}, {""time"": ""2023-08-14 13:50:00"", ""timestamp"": ""2023-08-14 14:15:03""}]",Bharatpur,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-14 13:15:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 14:15:03""}]"
BHA617,2023-08-14 12:10:00,"[{""time"": ""2023-08-14 12:10:00"", ""timestamp"": ""2023-08-14 12:45:03""}, {""time"": ""2023-08-14 13:45:00"", ""timestamp"": ""2023-08-14 14:15:03""}]",Pokhara,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-14 12:45:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 14:15:03""}]"
BHA705,2023-08-14 12:20:00,"[{""time"": ""2023-08-14 12:20:00"", ""timestamp"": ""2023-08-14 13:15:02""}, {""time"": ""2023-08-14 13:55:00"", ""timestamp"": ""2023-08-14 14:15:03""}]",Biratnagar,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-14 13:15:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 14:15:03""}]"
G9537,2023-08-14 10:40:00,"[{""time"": ""2023-08-14 10:40:00"", ""timestamp"": ""2023-08-14 11:01:37""}]",Sharjah,Air Arabia,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-14 11:00:54""}]"
6E1152,2023-08-14 11:00:00,"[{""time"": ""2023-08-14 11:00:00"", ""timestamp"": ""2023-08-14 11:01:37""}]",Delhi,IndiGo,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-14 11:00:54""}]"
H9890,2023-08-14 11:05:00,"[{""time"": ""2023-08-14 11:05:00"", ""timestamp"": ""2023-08-14 11:15:02""}]",Kuala Lumpur,Himalaya Airlines,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-14 11:15:02""}]"
CA438D,2023-08-14 12:20:00,"[{""time"": ""2023-08-14 12:20:00"", ""timestamp"": ""2023-08-14 09:39:49""}]",Tianfu,Air China,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-14 09:39:49""}, {""status"": ""Security Check"", ""timestamp"": ""2023-08-14 11:00:54""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-14 11:45:02""}, {""status"": ""Boarding Completed"", ""timestamp"": ""2023-08-14 12:45:03""}]"
BHA855,2023-08-14 11:30:00,"[{""time"": ""2023-08-14 11:30:00"", ""timestamp"": ""2023-08-14 11:45:02""}, {""time"": ""2023-08-14 11:53:00"", ""timestamp"": ""2023-08-14 12:45:03""}]",Bhairahawa,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-14 11:45:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 12:45:03""}]"
SHA223,2023-08-14 11:15:00,"[{""time"": ""2023-08-14 12:30:00"", ""timestamp"": ""2023-08-14 11:15:02""}, {""time"": ""2023-08-14 13:42:00"", ""timestamp"": ""2023-08-14 13:45:03""}]",Dhangadhi,Shree Airlines,f,"[{""status"": ""Delayed"", ""timestamp"": ""2023-08-14 11:15:02""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-14 13:15:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 13:45:03""}]"
BHA359,2023-08-14 12:30:00,"[{""time"": ""2023-08-14 13:15:00"", ""timestamp"": ""2023-08-14 13:45:03""}, {""time"": ""2023-08-14 14:02:00"", ""timestamp"": ""2023-08-14 14:15:03""}]",Bharatpur,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-14 13:45:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 14:15:03""}]"
BHA503,2023-08-14 10:25:00,"[{""time"": ""2023-08-14 10:35:00"", ""timestamp"": ""2023-08-14 11:01:37""}, {""time"": ""2023-08-14 11:00:00"", ""timestamp"": ""2023-08-14 11:15:02""}]",Janakpur,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-14 11:00:54""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 11:15:02""}]"
BHA553,2023-08-14 10:30:00,"[{""time"": ""2023-08-14 10:30:00"", ""timestamp"": ""2023-08-14 11:01:37""}, {""time"": ""2023-08-14 11:12:00"", ""timestamp"": ""2023-08-14 11:15:02""}]",Simara Airport,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-14 11:00:54""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 11:15:02""}]"
