flight_number,standard_time,estimated_time,location,airline,international,flight_status
NYT793,2023-08-16 17:00:00,"[{""time"": ""2023-08-16 17:00:00"", ""timestamp"": ""2023-08-16 17:15:02""}, {""time"": ""2023-08-16 17:31:00"", ""timestamp"": ""2023-08-16 17:46:08""}]",Biratnagar,Yeti Airlines,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-16 17:15:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-16 17:46:08""}]"
UK156,2023-08-16 17:15:00,"[{""time"": ""2023-08-16 17:15:00"", ""timestamp"": ""2023-08-16 17:46:08""}]",Delhi,Vistara,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-16 17:46:08""}]"
BHA511,2023-08-16 17:25:00,"[{""time"": ""2023-08-16 17:25:00"", ""timestamp"": ""2023-08-16 17:46:08""}, {""time"": ""2023-08-16 17:45:00"", ""timestamp"": ""2023-08-16 18:15:03""}]",Janakpur,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-16 17:46:08""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-16 18:15:03""}]"
BHA561,2023-08-16 17:30:00,"[{""time"": ""2023-08-16 18:00:00"", ""timestamp"": ""2023-08-16 18:15:03""}]",Simara Airport,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-16 18:15:03""}]"
NYT573,2023-08-16 18:10:00,"[{""time"": ""2023-08-16 18:10:00"", ""timestamp"": ""2023-08-16 18:15:03""}, {""time"": ""2023-08-16 18:25:00"", ""timestamp"": ""2023-08-16 19:15:03""}]",Janakpur,Yeti Airlines,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-16 18:15:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-16 19:15:03""}]"
BHA805,2023-08-16 18:20:00,"[{""time"": ""2023-08-16 18:20:00"", ""timestamp"": ""2023-08-16 18:15:03""}, {""time"": ""2023-08-16 18:33:00"", ""timestamp"": ""2023-08-16 19:15:03""}]",Bhairahawa,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-16 18:15:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-16 19:15:03""}]"
SHA433,2023-08-17 12:45:00,"[{""time"": ""2023-08-17 13:20:00"", ""timestamp"": ""2023-08-17 13:45:02""}, {""time"": ""2023-08-17 13:40:00"", ""timestamp"": ""2023-08-17 14:15:03""}]",Nepalgunj,Shree Airlines,f,"[{""status"": ""Boarding Completed"", ""timestamp"": ""2023-08-17 13:45:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-17 14:15:03""}]"
RA217,2023-08-17 13:48:00,"[{""time"": ""2023-08-17 13:48:00"", ""timestamp"": ""2023-08-17 14:15:03""}]",Delhi,Nepal Airlines,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-17 14:15:03""}]"
BHA901,2023-08-16 17:40:00,"[{""time"": ""2023-08-16 17:40:00"", ""timestamp"": ""2023-08-16 17:46:08""}, {""time"": ""2023-08-16 18:07:00"", ""timestamp"": ""2023-08-16 18:15:03""}]",Bhadrapur,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-16 17:46:08""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-16 18:15:03""}]"
BHA563,2023-08-16 17:55:00,"[{""time"": ""2023-08-16 18:12:00"", ""timestamp"": ""2023-08-16 18:15:03""}]",Simara Airport,Buddha Air,f,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-16 18:15:03""}]"
SHA439,2023-08-16 18:35:00,"[{""time"": ""2023-08-16 19:00:00"", ""timestamp"": ""2023-08-16 19:15:03""}, {""time"": ""2023-08-16 19:28:00"", ""timestamp"": ""2023-08-16 19:45:03""}]",Nepalgunj,Shree Airlines,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-16 19:15:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-16 19:45:03""}]"
BHA715,2023-08-16 19:00:00,"[{""time"": ""2023-08-16 19:00:00"", ""timestamp"": ""2023-08-16 19:15:03""}, {""time"": ""2023-08-16 19:21:00"", ""timestamp"": ""2023-08-16 19:45:03""}]",Biratnagar,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-16 19:15:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-16 19:45:03""}]"
NYT785,2023-08-16 19:00:00,"[{""time"": ""2023-08-16 19:45:00"", ""timestamp"": ""2023-08-16 19:45:03""}, {""time"": ""2023-08-16 20:38:00"", ""timestamp"": ""2023-08-16 20:45:06""}]",Biratnagar,Yeti Airlines,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-16 19:45:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-16 20:45:06""}]"
NYT893,2023-08-16 19:00:00,"[{""time"": ""2023-08-16 19:00:00"", ""timestamp"": ""2023-08-16 19:15:03""}, {""time"": ""2023-08-16 19:33:00"", ""timestamp"": ""2023-08-16 19:45:03""}]",Bhairahawa,Yeti Airlines,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-16 19:15:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-16 19:45:03""}]"
BHA663,2023-08-16 19:15:00,"[{""time"": ""2023-08-16 19:15:00"", ""timestamp"": ""2023-08-16 19:15:03""}, {""time"": ""2023-08-16 20:00:00"", ""timestamp"": ""2023-08-16 20:15:03""}]",Pokhara,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-16 19:15:03""}, {""status"": ""Cancelled"", ""timestamp"": ""2023-08-16 20:15:03""}]"
H9872,2023-08-16 19:45:00,"[{""time"": ""2023-08-16 19:45:00"", ""timestamp"": ""2023-08-16 16:45:07""}]",Kuala Lumpur,Himalaya Airlines,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-16 16:45:07""}, {""status"": ""Security Check"", ""timestamp"": ""2023-08-16 18:15:03""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-16 19:15:03""}, {""status"": ""Boarding Completed"", ""timestamp"": ""2023-08-16 19:45:03""}]"
H9678,2023-08-17 14:04:00,"[{""time"": ""2023-08-17 14:04:00"", ""timestamp"": ""2023-08-17 14:15:03""}]",Dhaka,Himalaya Airlines,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-17 14:15:03""}]"
BHA713,2023-08-16 18:00:00,"[{""time"": ""2023-08-16 18:00:00"", ""timestamp"": ""2023-08-16 18:15:03""}, {""time"": ""2023-08-16 18:21:00"", ""timestamp"": ""2023-08-16 18:45:02""}]",Biratnagar,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-16 18:15:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-16 18:45:02""}]"
SHA227,2023-08-16 18:05:00,"[{""time"": ""2023-08-16 18:15:00"", ""timestamp"": ""2023-08-16 18:15:03""}, {""time"": ""2023-08-16 18:45:00"", ""timestamp"": ""2023-08-16 19:15:03""}]",Dhangadhi,Shree Airlines,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-16 18:15:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-16 19:15:03""}]"
QR647,2023-08-16 18:40:00,"[{""time"": ""2023-08-16 18:40:00"", ""timestamp"": ""2023-08-16 19:15:03""}]",Doha,Qatar Airways,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-16 19:15:03""}]"
CZ3068,2023-08-20 01:30:00,"[{""time"": ""2023-08-20 01:30:00"", ""timestamp"": ""2023-08-20 01:45:03""}]",Guangzhou,China Southern,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-20 01:45:03""}]"
H9872,2023-08-17 19:45:00,"[{""time"": ""2023-08-17 19:45:00"", ""timestamp"": ""2023-08-17 16:45:02""}]",Kuala Lumpur,Himalaya Airlines,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-17 16:45:02""}, {""status"": ""Security Check"", ""timestamp"": ""2023-08-17 18:45:03""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-17 19:15:03""}]"
UK156,2023-08-17 17:10:00,"[{""time"": ""2023-08-17 17:10:00"", ""timestamp"": ""2023-08-17 17:15:02""}]",Delhi,Vistara,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-17 17:15:02""}]"
BHA511,2023-08-17 17:25:00,"[{""time"": ""2023-08-17 17:25:00"", ""timestamp"": ""2023-08-17 17:15:02""}]",Janakpur,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-17 17:15:02""}]"
H9872,2023-08-16 19:50:00,"[{""time"": ""2023-08-16 19:50:00"", ""timestamp"": ""2023-08-16 20:15:03""}]",Kuala Lumpur,Himalaya Airlines,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-16 20:15:03""}]"
H9563,2023-08-16 22:30:00,"[{""time"": ""2023-08-16 22:30:00"", ""timestamp"": ""2023-08-16 19:45:03""}]",Doha,Himalaya Airlines,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-16 19:45:03""}, {""status"": ""Security Check"", ""timestamp"": ""2023-08-16 21:15:03""}, {""status"": ""Boarding Completed"", ""timestamp"": ""2023-08-16 22:15:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-16 22:45:07""}]"
BHA807,2023-08-16 19:25:00,"[{""time"": ""2023-08-16 19:25:00"", ""timestamp"": ""2023-08-16 19:15:03""}, {""time"": ""2023-08-16 19:43:00"", ""timestamp"": ""2023-08-16 20:15:03""}]",Bhairahawa,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-16 19:15:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-16 20:15:03""}]"
RA229,2023-08-16 23:30:00,"[{""time"": ""2023-08-16 23:30:00"", ""timestamp"": ""2023-08-16 20:45:06""}]",Dubai,Nepal Airlines,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-16 20:45:06""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-16 22:45:07""}]"
CZ3068,2023-08-17 00:05:00,"[{""time"": ""2023-08-17 00:05:00"", ""timestamp"": ""2023-08-16 21:15:03""}]",Guangzhou,China Southern,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-16 21:15:03""}, {""status"": ""Security Check"", ""timestamp"": ""2023-08-16 22:45:07""}, {""status"": ""Last Call"", ""timestamp"": ""2023-08-16 23:15:02""}]"
OD181,2023-08-16 22:00:00,"[{""time"": ""2023-08-16 22:00:00"", ""timestamp"": ""2023-08-16 22:15:02""}]",Kuala Lumpur,Batik Air,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-16 22:15:02""}]"
FZ574,2023-08-17 01:55:00,"[{""time"": ""2023-08-17 01:55:00"", ""timestamp"": ""2023-08-16 22:45:07""}]",Dubai,Flydubai,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-16 22:45:07""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-17 01:45:03""}, {""status"": ""Last Call"", ""timestamp"": ""2023-08-17 02:15:07""}, {""status"": ""Boarding Completed"", ""timestamp"": ""2023-08-17 02:45:02""}]"
OD181,2023-08-16 21:30:00,"[{""time"": ""2023-08-16 21:30:00"", ""timestamp"": ""2023-08-16 18:15:03""}]",Kuala Lumpur,Batik Air,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-16 18:15:03""}, {""status"": ""Security Check"", ""timestamp"": ""2023-08-16 20:45:06""}]"
OV426,2023-08-16 21:30:00,"[{""time"": ""2023-08-16 21:30:00"", ""timestamp"": ""2023-08-16 18:15:03""}]",Muscat,Salam Air,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-16 18:15:03""}, {""status"": ""Security Check"", ""timestamp"": ""2023-08-16 20:45:06""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-16 21:15:03""}]"
AI212,2023-08-16 21:35:00,"[{""time"": ""2023-08-16 21:35:00"", ""timestamp"": ""2023-08-16 18:15:03""}]",Delhi,Air India,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-16 18:15:03""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-16 20:45:06""}, {""status"": ""Last Call"", ""timestamp"": ""2023-08-16 21:15:03""}]"
QR645,2023-08-17 02:15:00,"[{""time"": ""2023-08-17 02:15:00"", ""timestamp"": ""2023-08-16 23:15:02""}]",Doha,Qatar Airways,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-16 23:15:02""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-17 01:45:03""}, {""status"": ""Boarding Completed"", ""timestamp"": ""2023-08-17 02:45:02""}]"
SQ441,2023-08-16 23:10:00,"[{""time"": ""2023-08-16 23:10:00"", ""timestamp"": ""2023-08-16 20:15:03""}]",Singapore,Singapore Airlines,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-16 20:15:03""}, {""status"": ""Security Check"", ""timestamp"": ""2023-08-16 22:15:02""}, {""status"": ""Boarding Completed"", ""timestamp"": ""2023-08-16 22:45:07""}]"
RA229,2023-08-16 23:25:00,"[{""time"": ""2023-08-16 23:25:00"", ""timestamp"": ""2023-08-16 23:15:02""}]",Dubai,Nepal Airlines,t,"[{""status"": ""Boarding Completed"", ""timestamp"": ""2023-08-16 23:15:02""}]"
AI212,2023-08-16 21:25:00,"[{""time"": ""2023-08-16 21:25:00"", ""timestamp"": ""2023-08-16 21:45:02""}]",Delhi,Air India,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-16 21:45:02""}]"
OV426,2023-08-16 21:35:00,"[{""time"": ""2023-08-16 21:35:00"", ""timestamp"": ""2023-08-16 21:45:02""}]",Muscat,Salam Air,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-16 21:45:02""}]"
OD181,2023-08-16 21:55:00,"[{""time"": ""2023-08-16 21:55:00"", ""timestamp"": ""2023-08-16 21:45:02""}]",Kuala Lumpur,Batik Air,t,"[{""status"": ""Boarding Completed"", ""timestamp"": ""2023-08-16 21:45:02""}]"
SQ441,2023-08-16 23:15:00,"[{""time"": ""2023-08-16 23:15:00"", ""timestamp"": ""2023-08-16 23:45:07""}]",Singapore,Singapore Airlines,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-16 23:45:07""}]"
H9565,2023-08-16 23:30:00,"[{""time"": ""2023-08-16 23:30:00"", ""timestamp"": ""2023-08-16 20:45:06""}]",Dubai,Himalaya Airlines,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-16 20:45:06""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-16 22:45:07""}, {""status"": ""Boarding Completed"", ""timestamp"": ""2023-08-16 23:15:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-16 23:45:07""}]"
RA229,2023-08-16 23:35:00,"[{""time"": ""2023-08-16 23:35:00"", ""timestamp"": ""2023-08-16 23:45:07""}]",Dubai,Nepal Airlines,t,"[{""status"": ""Boarding Completed"", ""timestamp"": ""2023-08-16 23:15:02""}]"
CZ3068,2023-08-16 23:50:00,"[{""time"": ""2023-08-16 23:50:00"", ""timestamp"": ""2023-08-16 23:45:07""}]",Guangzhou,China Southern,t,"[{""status"": ""Boarding Completed"", ""timestamp"": ""2023-08-16 23:45:07""}]"
QR645,2023-08-20 02:17:00,"[{""time"": ""2023-08-20 02:17:00"", ""timestamp"": ""2023-08-20 02:45:02""}]",Doha,Qatar Airways,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-20 02:45:02""}]"
FZ574,2023-08-20 02:25:00,"[{""time"": ""2023-08-20 02:25:00"", ""timestamp"": ""2023-08-20 02:45:02""}]",Dubai,Flydubai,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-20 02:45:02""}]"
6E1158,2023-08-18 15:20:00,"[{""time"": ""2023-08-18 15:20:00"", ""timestamp"": ""2023-08-18 12:45:02""}]",Mumbai,IndiGo,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-18 12:45:02""}, {""status"": ""Last Call"", ""timestamp"": ""2023-08-18 15:15:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-18 15:45:03""}]"
NYT301,2023-08-17 06:20:00,"[{""time"": ""2023-08-17 06:20:00"", ""timestamp"": ""2023-08-17 06:45:02""}]",Mountain Flight,Yeti Airlines,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-17 06:45:02""}]"
SMA303D,2023-08-17 06:00:00,"[{""time"": ""2023-08-17 07:00:00"", ""timestamp"": ""2023-08-17 06:45:02""}]",Lukla,Summit Air,f,"[{""status"": ""Delay due to weather"", ""timestamp"": ""2023-08-17 06:45:02""}]"
STA601,2023-08-17 06:00:00,"[{""time"": ""2023-08-17 07:25:00"", ""timestamp"": ""2023-08-17 07:45:02""}]",Lukla,Sita Air,f,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-17 07:45:02""}]"
RA109,2023-08-17 06:15:00,"[{""time"": ""2023-08-17 07:30:00"", ""timestamp"": ""2023-08-17 06:45:02""}, {""time"": ""2023-08-17 07:40:00"", ""timestamp"": ""2023-08-17 07:45:02""}, {""time"": ""2023-08-17 08:05:00"", ""timestamp"": ""2023-08-17 08:45:08""}]",Bhojpur,Nepal Airlines,f,"[{""status"": ""Delay due to weather"", ""timestamp"": ""2023-08-17 06:45:02""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-17 07:45:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-17 08:45:08""}]"
J91540,2023-08-17 02:30:00,"[{""time"": ""2023-08-17 02:30:00"", ""timestamp"": ""2023-08-16 23:15:02""}]",Kuwait,Jazeera,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-16 23:15:02""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-17 02:45:02""}]"
BHA551,2023-08-17 06:30:00,"[{""time"": ""2023-08-17 07:00:00"", ""timestamp"": ""2023-08-17 06:45:02""}, {""time"": ""2023-08-17 07:11:00"", ""timestamp"": ""2023-08-17 07:45:02""}, {""time"": ""2023-08-17 07:48:00"", ""timestamp"": ""2023-08-17 08:15:02""}]",Simara Airport,Buddha Air,f,"[{""status"": ""Delayed"", ""timestamp"": ""2023-08-17 06:45:02""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-17 07:15:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-17 07:45:02""}]"
BHA603,2023-08-17 07:30:00,"[{""time"": ""2023-08-17 07:30:00"", ""timestamp"": ""2023-08-17 07:45:02""}, {""time"": ""2023-08-17 07:54:00"", ""timestamp"": ""2023-08-17 08:15:02""}]",Pokhara,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-17 07:45:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-17 08:15:02""}]"
J91540,2023-08-17 03:10:00,"[{""time"": ""2023-08-17 03:10:00"", ""timestamp"": ""2023-08-17 03:15:03""}]",Kuwait,Jazeera,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-17 03:15:03""}]"
NYT793,2023-08-17 17:00:00,"[{""time"": ""2023-08-17 17:00:00"", ""timestamp"": ""2023-08-17 17:15:02""}, {""time"": ""2023-08-17 17:11:00"", ""timestamp"": ""2023-08-17 17:45:03""}]",Biratnagar,Yeti Airlines,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-17 17:15:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-17 17:45:03""}]"
UK156,2023-08-17 17:00:00,"[{""time"": ""2023-08-17 17:00:00"", ""timestamp"": ""2023-08-17 14:15:03""}]",Delhi,Vistara,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-17 14:15:03""}, {""status"": ""Security Check"", ""timestamp"": ""2023-08-17 15:45:07""}, {""status"": ""Last Call"", ""timestamp"": ""2023-08-17 16:45:02""}]"
KU1392,2023-08-17 07:10:00,"[{""time"": ""2023-08-17 07:10:00"", ""timestamp"": ""2023-08-17 05:45:02""}]",Kuwait,Kuwait Airways,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-17 05:45:02""}]"
BHA901,2023-08-17 17:40:00,"[{""time"": ""2023-08-17 17:40:00"", ""timestamp"": ""2023-08-17 17:45:03""}, {""time"": ""2023-08-17 18:00:00"", ""timestamp"": ""2023-08-17 18:45:03""}]",Bhadrapur,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-17 17:45:03""}, {""status"": ""Boarding Completed"", ""timestamp"": ""2023-08-17 18:45:03""}]"
TRA111,2023-08-17 06:30:00,"[{""time"": ""2023-08-17 06:30:00"", ""timestamp"": ""2023-08-17 06:15:02""}, {""time"": ""2023-08-17 07:02:00"", ""timestamp"": ""2023-08-17 07:15:02""}]",Lukla,Tara Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-17 06:15:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-17 07:15:02""}]"
BHA351,2023-08-17 06:50:00,"[{""time"": ""2023-08-17 06:50:00"", ""timestamp"": ""2023-08-17 06:45:02""}, {""time"": ""2023-08-17 07:11:00"", ""timestamp"": ""2023-08-17 07:45:02""}]",Bharatpur,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-17 06:45:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-17 07:45:02""}]"
BHA951,2023-08-17 07:40:00,"[{""time"": ""2023-08-17 07:40:00"", ""timestamp"": ""2023-08-17 07:45:02""}, {""time"": ""2023-08-17 08:05:00"", ""timestamp"": ""2023-08-17 08:15:02""}]",Bhadrapur,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-17 07:45:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-17 08:15:02""}]"
BHA100,2023-08-17 06:15:00,"[{""time"": ""2023-08-17 06:27:00"", ""timestamp"": ""2023-08-17 06:45:02""}]",Mountain Flight,Buddha Air,f,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-17 06:45:02""}]"
BHA501,2023-08-17 07:45:00,"[{""time"": ""2023-08-17 07:45:00"", ""timestamp"": ""2023-08-17 07:45:02""}, {""time"": ""2023-08-17 08:18:00"", ""timestamp"": ""2023-08-17 08:45:08""}]",Janakpur,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-17 07:45:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-17 08:45:08""}]"
BHA901,2023-08-18 17:40:00,"[{""time"": ""2023-08-18 17:55:00"", ""timestamp"": ""2023-08-18 18:15:03""}, {""time"": ""2023-08-18 18:19:00"", ""timestamp"": ""2023-08-18 18:45:03""}]",Bhadrapur,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-18 18:15:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-18 18:45:03""}]"
NYT671,2023-08-17 07:30:00,"[{""time"": ""2023-08-17 07:30:00"", ""timestamp"": ""2023-08-17 07:45:02""}, {""time"": ""2023-08-17 08:40:00"", ""timestamp"": ""2023-08-17 08:45:08""}, {""time"": ""2023-08-17 09:10:00"", ""timestamp"": ""2023-08-17 09:45:02""}]",Pokhara,Yeti Airlines,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-17 07:45:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-17 09:45:02""}]"
BHA133,2023-08-17 07:30:00,"[{""time"": ""2023-08-17 08:30:00"", ""timestamp"": ""2023-08-17 07:45:02""}, {""time"": ""2023-08-17 09:10:00"", ""timestamp"": ""2023-08-17 09:15:03""}, {""time"": ""2023-08-17 09:40:00"", ""timestamp"": ""2023-08-17 10:15:02""}]",Surkhet,Buddha Air,f,"[{""status"": ""Delay due to weather"", ""timestamp"": ""2023-08-17 07:45:02""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-17 09:15:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-17 10:15:02""}]"
KU1392,2023-08-17 07:45:00,"[{""time"": ""2023-08-17 07:45:00"", ""timestamp"": ""2023-08-17 06:45:02""}]",Kuwait,Kuwait Airways,t,"[{""status"": ""Delayed"", ""timestamp"": ""2023-08-17 06:45:02""}, {""status"": ""Last Call"", ""timestamp"": ""2023-08-17 07:45:02""}]"
BHA557,2023-08-18 15:45:00,"[{""time"": ""2023-08-18 15:45:00"", ""timestamp"": ""2023-08-18 15:45:03""}, {""time"": ""2023-08-18 16:02:00"", ""timestamp"": ""2023-08-18 16:45:02""}]",Simara Airport,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-18 15:45:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-18 16:45:02""}]"
NYT925,2023-08-17 13:50:00,"[{""time"": ""2023-08-17 14:00:00"", ""timestamp"": ""2023-08-17 14:15:03""}, {""time"": ""2023-08-17 14:45:00"", ""timestamp"": ""2023-08-17 15:15:02""}]",Bhadrapur,Yeti Airlines,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-17 14:15:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-17 15:15:02""}]"
SHA735,2023-08-17 14:05:00,"[{""time"": ""2023-08-17 14:05:00"", ""timestamp"": ""2023-08-17 14:15:03""}]",Biratnagar,Shree Airlines,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-17 14:15:03""}]"
BHA405,2023-08-17 14:15:00,"[{""time"": ""2023-08-17 14:15:00"", ""timestamp"": ""2023-08-17 14:15:03""}]",Nepalgunj,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-17 14:15:03""}]"
6E1154,2023-08-17 14:16:00,"[{""time"": ""2023-08-17 14:16:00"", ""timestamp"": ""2023-08-17 14:45:02""}]",Delhi,IndiGo,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-17 14:45:02""}]"
BHA375,2023-08-17 14:20:00,"[{""time"": ""2023-08-17 14:20:00"", ""timestamp"": ""2023-08-17 14:15:03""}, {""time"": ""2023-08-17 14:30:00"", ""timestamp"": ""2023-08-17 14:45:02""}]",Bharatpur,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-17 14:15:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-17 14:45:02""}]"
BHA655,2023-08-17 14:20:00,"[{""time"": ""2023-08-17 14:20:00"", ""timestamp"": ""2023-08-17 14:15:03""}, {""time"": ""2023-08-17 14:56:00"", ""timestamp"": ""2023-08-17 15:15:02""}]",Pokhara,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-17 14:15:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-17 15:15:02""}]"
STA603,2023-08-17 07:20:00,"[{""time"": ""2023-08-17 08:30:00"", ""timestamp"": ""2023-08-17 08:45:08""}]",Lukla,Sita Air,f,"[{""status"": ""Cancelled"", ""timestamp"": ""2023-08-17 08:45:08""}]"
BHA701,2023-08-17 07:50:00,"[{""time"": ""2023-08-17 08:10:00"", ""timestamp"": ""2023-08-17 08:15:02""}, {""time"": ""2023-08-17 08:26:00"", ""timestamp"": ""2023-08-17 08:45:08""}]",Biratnagar,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-17 08:15:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-17 08:45:08""}]"
BHA281,2023-08-17 08:00:00,"[{""time"": ""2023-08-17 08:00:00"", ""timestamp"": ""2023-08-17 08:15:02""}, {""time"": ""2023-08-17 08:24:00"", ""timestamp"": ""2023-08-17 08:45:08""}]",Tumlingtar,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-17 08:15:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-17 08:45:08""}]"
